Globaler Bestandsreport über alle Lager
========================================================================

Lager Hauptlager Wien (ID: 69a5635c5f542739580c156f)
------------------------------------------------------------------------
  Produkt                   | Menge | Beschreibung
  Schreibtisch XXL          |    35 | Schreibtisch XXL. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Smart Halterung #12       |   305 | Smart Halterung #12. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Smart Halterung #26       |   208 | Smart Halterung #26. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Smart Ständer #24         |    71 | Smart Ständer #24. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Standard Haken #28        |   441 | Standard Haken #28. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Standard Organizer #39    |    32 | Standard Organizer #39. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Standard Tablett #40      |   289 | Standard Tablett #40. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Tastatur Beleuchtet       |    15 | Tastatur Beleuchtet. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Bluetooth        |   153 | Tastatur Bluetooth. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Gaming           |   474 | Tastatur Gaming. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Kompakt          |    80 | Tastatur Kompakt. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Mechanisch       |   311 | Tastatur Mechanisch. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Slim             |   374 | Tastatur Slim. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Wireless         |   484 | Tastatur Wireless. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Ultra Klemme #49          |   171 | Ultra Klemme #49. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Verpackung Beutel         |   461 | Verpackung Beutel. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Etiketten      |    12 | Verpackung Etiketten. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Karton A3      |   366 | Verpackung Karton A3. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Koffer         |   487 | Verpackung Koffer. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Luftpolster    |   386 | Verpackung Luftpolster. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Palette        |   378 | Verpackung Palette. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Transportbox   |   449 | Verpackung Transportbox. Ideal für den professionellen Einsatz. Kategorie: Verpackung.

Lager Außenlager Linz (ID: 69a5635c5f542739580c1571)
------------------------------------------------------------------------
  Produkt                   | Menge | Beschreibung
  ------------------------------------------------
  Bürostuhl Barhocker       |   222 | Bürostuhl Barhocker. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Ergonomisch     |   331 | Bürostuhl Ergonomisch. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Executive       |   303 | Bürostuhl Executive. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Gamer           |   252 | Bürostuhl Gamer. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Hocker          |   244 | Bürostuhl Hocker. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Kinder          |    72 | Bürostuhl Kinder. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Netz            |   198 | Bürostuhl Netz. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Rollstuhl       |   431 | Bürostuhl Rollstuhl. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Sattelhocker    |   402 | Bürostuhl Sattelhocker. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Standard        |   106 | Bürostuhl Standard. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Classic Ablage #42        |   500 | Classic Ablage #42. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Box #2            |   260 | Classic Box #2. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Haken #50         |   380 | Classic Haken #50. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Klemme #4         |   431 | Classic Klemme #4. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Klemme #9         |   343 | Classic Klemme #9. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Organizer #41     |    15 | Classic Organizer #41. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Organizer #6      |   214 | Classic Organizer #6. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Schublade #14     |    78 | Classic Schublade #14. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Schublade #29     |   314 | Classic Schublade #29. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Tablett #43       |   220 | Classic Tablett #43. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Drucker 3D                |    40 | Drucker 3D. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Foto              |    11 | Drucker Foto. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Großformat        |   417 | Drucker Großformat. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Label             |   317 | Drucker Label. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Mobil             |   449 | Drucker Mobil. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Multifunktion     |   329 | Drucker Multifunktion. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Netzwerk          |   345 | Drucker Netzwerk. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Thermodruck       |    83 | Drucker Thermodruck. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Tintenstrahl      |   273 | Drucker Tintenstrahl. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Economy Aufbewahrung #8   |   132 | Economy Aufbewahrung #8. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Halterung #22     |     5 | Economy Halterung #22. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Klemme #13        |   391 | Economy Klemme #13. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Klemme #38        |    19 | Economy Klemme #38. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Organizer #32     |   354 | Economy Organizer #32. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Schublade #37     |   445 | Economy Schublade #37. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Klemme #10     |   215 | Heavy-Duty Klemme #10. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Klemme #11     |     9 | Heavy-Duty Klemme #11. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Tablett #33    |    43 | Heavy-Duty Tablett #33. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kabel Adapter             |   163 | Kabel Adapter. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel DisplayPort         |   273 | Kabel DisplayPort. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Ethernet            |   131 | Kabel Ethernet. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Flachkabel          |   248 | Kabel Flachkabel. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Glasfaser           |   279 | Kabel Glasfaser. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel HDMI                |   489 | Kabel HDMI. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Spiralkabel         |   471 | Kabel Spiralkabel. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Thunderbolt         |   326 | Kabel Thunderbolt. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel USB-C               |   234 | Kabel USB-C. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Verlängerung        |   230 | Kabel Verlängerung. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kompakt Ablage #34        |   368 | Kompakt Ablage #34. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kompakt Haken #1          |   141 | Kompakt Haken #1. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kompakt Haken #20         |   330 | Kompakt Haken #20. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kompakt Klemme #21        |   487 | Kompakt Klemme #21. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Lampe Akku                |   259 | Lampe Akku. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Deckenspot          |   443 | Lampe Deckenspot. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Klemmleuchte        |   451 | Lampe Klemmleuchte. Ideal für den professionellen Einsatz. Kategorie: Lampe.
